"DatasetId","ColumnVariableCode","ColumnVariableMeasurementUnit","ColumnVariableDescription"
"KS602EW","KS602EW0006","Count","Economically active: Full-time student"
"KS602EW","KS602EW0007","Count","Economically inactive: Retired"
"KS602EW","KS602EW0008","Count","Economically inactive: Student (including full-time students)"
"KS602EW","KS602EW0009","Count","Economically inactive: Looking after home or family"
"KS602EW","KS602EW0010","Count","Economically inactive: Long-term sick or disabled"
"KS602EW","KS602EW0011","Count","Economically inactive: Other"
"KS602EW","KS602EW0012","Count","Unemployed: Age 16 to 24"
"KS602EW","KS602EW0013","Count","Unemployed: Age 50 to 74"
"KS602EW","KS602EW0014","Count","Unemployed: Never worked"
"KS602EW","KS602EW0015","Count","Long-term unemployed"
"KS602EW","KS602EW0016","Percentage","Economically active: Employee: Part-time"
"KS602EW","KS602EW0017","Percentage","Economically active: Employee: Full-time"
"KS602EW","KS602EW0018","Percentage","Economically active: Self-employed"
"KS602EW","KS602EW0019","Percentage","Economically active: Unemployed"
"KS602EW","KS602EW0020","Percentage","Economically active: Full-time student"
"KS602EW","KS602EW0021","Percentage","Economically inactive: Retired"
"KS602EW","KS602EW0022","Percentage","Economically inactive: Student (including full-time students)"
"KS602EW","KS602EW0023","Percentage","Economically inactive: Looking after home or family"
"KS602EW","KS602EW0024","Percentage","Economically inactive: Long-term sick or disabled"
"KS602EW","KS602EW0025","Percentage","Economically inactive: Other"
"KS602EW","KS602EW0026","Percentage","Unemployed: Age 16 to 24"
"KS602EW","KS602EW0027","Percentage","Unemployed: Age 50 to 74"
"KS602EW","KS602EW0028","Percentage","Unemployed: Never worked"
"KS602EW","KS602EW0029","Percentage","Long-term unemployed"
"KS603EW","KS603EW0001","Count","All categories: Economic activity"
"KS603EW","KS603EW0002","Count","Economically active: Employee: Part-time"
"KS603EW","KS603EW0003","Count","Economically active: Employee: Full-time"
"KS603EW","KS603EW0004","Count","Economically active: Self-employed"
"KS603EW","KS603EW0005","Count","Economically active: Unemployed"
"KS603EW","KS603EW0006","Count","Economically active: Full-time student"
"KS603EW","KS603EW0007","Count","Economically inactive: Retired"
"KS603EW","KS603EW0008","Count","Economically inactive: Student (including full-time students)"
"KS603EW","KS603EW0009","Count","Economically inactive: Looking after home or family"
"KS603EW","KS603EW0010","Count","Economically inactive: Long-term sick or disabled"
"KS603EW","KS603EW0011","Count","Economically inactive: Other"
"KS603EW","KS603EW0012","Count","Unemployed: Age 16 to 24"
"KS603EW","KS603EW0013","Count","Unemployed: Age 50 to 74"
"KS603EW","KS603EW0014","Count","Unemployed: Never worked"
"KS603EW","KS603EW0015","Count","Long-term unemployed"
"KS603EW","KS603EW0016","Percentage","Economically active: Employee: Part-time"
"KS603EW","KS603EW0017","Percentage","Economically active: Employee: Full-time"
"KS603EW","KS603EW0018","Percentage","Economically active: Self-employed"
"KS603EW","KS603EW0019","Percentage","Economically active: Unemployed"
"KS603EW","KS603EW0020","Percentage","Economically active: Full-time student"
"KS603EW","KS603EW0021","Percentage","Economically inactive: Retired"
"KS603EW","KS603EW0022","Percentage","Economically inactive: Student (including full-time students)"
"KS603EW","KS603EW0023","Percentage","Economically inactive: Looking after home or family"
"KS603EW","KS603EW0024","Percentage","Economically inactive: Long-term sick or disabled"
"KS603EW","KS603EW0025","Percentage","Economically inactive: Other"
"KS603EW","KS603EW0026","Percentage","Unemployed: Age 16 to 24"
"KS603EW","KS603EW0027","Percentage","Unemployed: Age 50 to 74"
"KS603EW","KS603EW0028","Percentage","Unemployed: Never worked"
"KS603EW","KS603EW0029","Percentage","Long-term unemployed"
"KS604EW","KS604EW0001","Count","All categories: Hours worked by sex"
"KS604EW","KS604EW0002","Count","Part-time: 15 hours or less worked"
"KS604EW","KS604EW0003","Count","Part-time: 16 to 30 hours worked"
"KS604EW","KS604EW0004","Count","Full-time: 31 to 48 hours worked"
"KS604EW","KS604EW0005","Count","Full-time: 49 or more hours worked"
"KS604EW","KS604EW0006","Count","Males: Total"
"KS604EW","KS604EW0007","Count","Males: Part-time: 15 hours or less worked"
"KS604EW","KS604EW0008","Count","Males: Part-time: 16 to 30 hours worked"
"KS604EW","KS604EW0009","Count","Males: Full-time: 31 to 48 hours worked"
"KS604EW","KS604EW0010","Count","Males: Full-time: 49 or more hours worked"
"KS604EW","KS604EW0011","Count","Females: Total"
"KS604EW","KS604EW0012","Count","Females: Part-time: 15 hours or less worked"
"KS604EW","KS604EW0013","Count","Females: Part-time: 16 to 30 hours worked"
"KS604EW","KS604EW0014","Count","Females: Full-time: 31 to 48 hours worked"
"KS604EW","KS604EW0015","Count","Females: Full-time: 49 or more hours worked"
"KS604EW","KS604EW0016","Percentage","Part-time: 15 hours or less worked"
"KS604EW","KS604EW0017","Percentage","Part-time: 16 to 30 hours worked"
"KS604EW","KS604EW0018","Percentage","Full-time: 31 to 48 hours worked"
"KS604EW","KS604EW0019","Percentage","Full-time: 49 or more hours worked"
"KS604EW","KS604EW0020","Percentage","Males: Total"
"KS604EW","KS604EW0021","Percentage","Males: Part-time: 15 hours or less worked"
"KS604EW","KS604EW0022","Percentage","Males: Part-time: 16 to 30 hours worked"
"KS604EW","KS604EW0023","Percentage","Males: Full-time: 31 to 48 hours worked"
"KS604EW","KS604EW0024","Percentage","Males: Full-time: 49 or more hours worked"
"KS604EW","KS604EW0025","Percentage","Females: Total"
"KS604EW","KS604EW0026","Percentage","Females: Part-time: 15 hours or less worked"
"KS604EW","KS604EW0027","Percentage","Females: Part-time: 16 to 30 hours worked"
"KS604EW","KS604EW0028","Percentage","Females: Full-time: 31 to 48 hours worked"
"KS604EW","KS604EW0029","Percentage","Females: Full-time: 49 or more hours worked"
"KS605EW","KS605EW0001","Count","All categories: Industry"
"KS605EW","KS605EW0002","Count","A Agriculture, forestry and fishing"
"KS605EW","KS605EW0003","Count","B Mining and quarrying"
"KS605EW","KS605EW0004","Count","C Manufacturing"
"KS605EW","KS605EW0005","Count","D Electricity, gas, steam and air conditioning supply"
"KS605EW","KS605EW0006","Count","E Water supply; sewerage, waste management and remediation activities"
"KS605EW","KS605EW0007","Count","F Construction"
"KS605EW","KS605EW0008","Count","G Wholesale and retail trade"
"KS605EW","KS605EW0009","Count","H Transport and storage"
"KS605EW","KS605EW0010","Count","I Accommodation and food service activities"
"KS605EW","KS605EW0011","Count","J Information and communication"
"KS605EW","KS605EW0012","Count","K Financial and insurance activities"
"KS605EW","KS605EW0013","Count","L Real estate activities"
"KS605EW","KS605EW0014","Count","M Professional, scientific and technical activities"
"KS605EW","KS605EW0015","Count","N Administrative and support service activities"
"KS605EW","KS605EW0016","Count","O Public administration and defence"
"KS605EW","KS605EW0017","Count","P Education"
"KS605EW","KS605EW0018","Count","Q Human health and social work activities"
"KS605EW","KS605EW0019","Count","R, S, T, U Other"
"KS605EW","KS605EW0020","Percentage","A Agriculture, forestry and fishing"
"KS605EW","KS605EW0021","Percentage","B Mining and quarrying"
"KS605EW","KS605EW0022","Percentage","C Manufacturing"
"KS605EW","KS605EW0023","Percentage","D Electricity, gas, steam and air conditioning supply"
"KS605EW","KS605EW0024","Percentage","E Water supply; sewerage, waste management and remediation activities"
"KS605EW","KS605EW0025","Percentage","F Construction"
"KS605EW","KS605EW0026","Percentage","G Wholesale and retail trade"
"KS605EW","KS605EW0027","Percentage","H Transport and storage"
"KS605EW","KS605EW0028","Percentage","I Accommodation and food service activities"
"KS605EW","KS605EW0029","Percentage","J Information and communication"
"KS605EW","KS605EW0030","Percentage","K Financial and insurance activities"
"KS605EW","KS605EW0031","Percentage","L Real estate activities"
"KS605EW","KS605EW0032","Percentage","M Professional, scientific and technical activities"
"KS605EW","KS605EW0033","Percentage","N Administrative and support service activities"
"KS605EW","KS605EW0034","Percentage","O Public administration and defence"
"KS605EW","KS605EW0035","Percentage","P Education"
"KS605EW","KS605EW0036","Percentage","Q Human health and social work activities"
"KS605EW","KS605EW0037","Percentage","R, S, T, U Other"
"KS606EW","KS606EW0001","Count","All categories: Industry"
"KS606EW","KS606EW0002","Count","A Agriculture, forestry and fishing"
"KS606EW","KS606EW0003","Count","B Mining and quarrying"
"KS606EW","KS606EW0004","Count","C Manufacturing"
"KS606EW","KS606EW0005","Count","D Electricity, gas, steam and air conditioning supply"
"KS606EW","KS606EW0006","Count","E Water supply; sewerage, waste management and remediation activities"
"KS606EW","KS606EW0007","Count","F Construction"
"KS606EW","KS606EW0008","Count","G Wholesale and retail trade"
"KS606EW","KS606EW0009","Count","H Transport and storage"
"KS606EW","KS606EW0010","Count","I Accommodation and food service activities"
"KS606EW","KS606EW0011","Count","J Information and communication"
"KS606EW","KS606EW0012","Count","K Financial and insurance activities"
"KS606EW","KS606EW0013","Count","L Real estate activities"
"KS606EW","KS606EW0014","Count","M Professional, scientific and technical activities"
"KS606EW","KS606EW0015","Count","N Administrative and support service activities"
"KS606EW","KS606EW0016","Count","O Public administration and defence"
"KS606EW","KS606EW0017","Count","P Education"
"KS606EW","KS606EW0018","Count","Q Human health and social work activities"
"KS606EW","KS606EW0019","Count","R, S, T, U Other"
"KS606EW","KS606EW0020","Percentage","A Agriculture, forestry and fishing"
"KS606EW","KS606EW0021","Percentage","B Mining and quarrying"
"KS606EW","KS606EW0022","Percentage","C Manufacturing"
"KS606EW","KS606EW0023","Percentage","D Electricity, gas, steam and air conditioning supply"
"KS606EW","KS606EW0024","Percentage","E Water supply; sewerage, waste management and remediation activities"
"KS606EW","KS606EW0025","Percentage","F Construction"
"KS606EW","KS606EW0026","Percentage","G Wholesale and retail trade"
"KS606EW","KS606EW0027","Percentage","H Transport and storage"
"KS606EW","KS606EW0028","Percentage","I Accommodation and food service activities"
"KS606EW","KS606EW0029","Percentage","J Information and communication"
"KS606EW","KS606EW0030","Percentage","K Financial and insurance activities"
"KS606EW","KS606EW0031","Percentage","L Real estate activities"
"KS606EW","KS606EW0032","Percentage","M Professional, scientific and technical activities"
"KS606EW","KS606EW0033","Percentage","N Administrative and support service activities"
"KS606EW","KS606EW0034","Percentage","O Public administration and defence"
"KS606EW","KS606EW0035","Percentage","P Education"
"KS606EW","KS606EW0036","Percentage","Q Human health and social work activities"
"KS606EW","KS606EW0037","Percentage","R, S, T, U Other"
"KS607EW","KS607EW0001","Count","All categories: Industry"
"KS607EW","KS607EW0002","Count","A Agriculture, forestry and fishing"
"KS607EW","KS607EW0003","Count","B Mining and quarrying"
"KS607EW","KS607EW0004","Count","C Manufacturing"
"KS607EW","KS607EW0005","Count","D Electricity, gas, steam and air conditioning supply"
"KS607EW","KS607EW0006","Count","E Water supply; sewerage, waste management and remediation activities"
"KS607EW","KS607EW0007","Count","F Construction"
"KS607EW","KS607EW0008","Count","G Wholesale and retail trade"
"KS607EW","KS607EW0009","Count","H Transport and storage"
"KS607EW","KS607EW0010","Count","I Accommodation and food service activities"
"KS607EW","KS607EW0011","Count","J Information and communication"
"KS607EW","KS607EW0012","Count","K Financial and insurance activities"
"KS607EW","KS607EW0013","Count","L Real estate activities"
"KS607EW","KS607EW0014","Count","M Professional, scientific and technical activities"
"KS607EW","KS607EW0015","Count","N Administrative and support service activities"
"KS607EW","KS607EW0016","Count","O Public administration and defence"
"KS607EW","KS607EW0017","Count","P Education"
"KS607EW","KS607EW0018","Count","Q Human health and social work activities"
"KS607EW","KS607EW0019","Count","R, S, T, U Other"
"KS607EW","KS607EW0020","Percentage","A Agriculture, forestry and fishing"
"KS607EW","KS607EW0021","Percentage","B Mining and quarrying"
"KS607EW","KS607EW0022","Percentage","C Manufacturing"
"KS607EW","KS607EW0023","Percentage","D Electricity, gas, steam and air conditioning supply"
"KS607EW","KS607EW0024","Percentage","E Water supply; sewerage, waste management and remediation activities"
"KS607EW","KS607EW0025","Percentage","F Construction"
"KS607EW","KS607EW0026","Percentage","G Wholesale and retail trade"
"KS607EW","KS607EW0027","Percentage","H Transport and storage"
"KS607EW","KS607EW0028","Percentage","I Accommodation and food service activities"
"KS607EW","KS607EW0029","Percentage","J Information and communication"
"KS607EW","KS607EW0030","Percentage","K Financial and insurance activities"
"KS607EW","KS607EW0031","Percentage","L Real estate activities"
"KS607EW","KS607EW0032","Percentage","M Professional, scientific and technical activities"
"KS607EW","KS607EW0033","Percentage","N Administrative and support service activities"
"KS607EW","KS607EW0034","Percentage","O Public administration and defence"
"KS607EW","KS607EW0035","Percentage","P Education"
"KS607EW","KS607EW0036","Percentage","Q Human health and social work activities"
"KS607EW","KS607EW0037","Percentage","R, S, T, U Other"
"KS608EW","KS608EW0001","Count","All categories: Occupation"
"KS608EW","KS608EW0002","Count","1. Managers, directors and senior officials"
"KS608EW","KS608EW0003","Count","2. Professional occupations"
"KS608EW","KS608EW0004","Count","3. Associate professional and technical occupations"
"KS608EW","KS608EW0005","Count","4. Administrative and secretarial occupations"
"KS608EW","KS608EW0006","Count","5. Skilled trades occupations"
"KS608EW","KS608EW0007","Count","6. Caring, leisure and other service occupations"
"KS608EW","KS608EW0008","Count","7. Sales and customer service occupations"
"KS608EW","KS608EW0009","Count","8. Process, plant and machine operatives"
"KS608EW","KS608EW0010","Count","9. Elementary occupations"
"KS608EW","KS608EW0011","Percentage","1. Managers, directors and senior officials"
"KS608EW","KS608EW0012","Percentage","2. Professional occupations"
"KS608EW","KS608EW0013","Percentage","3. Associate professional and technical occupations"
"KS608EW","KS608EW0014","Percentage","4. Administrative and secretarial occupations"
"KS608EW","KS608EW0015","Percentage","5. Skilled trades occupations"
"KS608EW","KS608EW0016","Percentage","6. Caring, leisure and other service occupations"
"KS608EW","KS608EW0017","Percentage","7. Sales and customer service occupations"
"KS608EW","KS608EW0018","Percentage","8. Process, plant and machine operatives"
"KS608EW","KS608EW0019","Percentage","9. Elementary occupations"
"KS609EW","KS609EW0001","Count","All categories: Occupation"
"KS609EW","KS609EW0002","Count","1. Managers, directors and senior officials"
"KS609EW","KS609EW0003","Count","2. Professional occupations"
"KS609EW","KS609EW0004","Count","3. Associate professional and technical occupations"
"KS609EW","KS609EW0005","Count","4. Administrative and secretarial occupations"
"KS609EW","KS609EW0006","Count","5. Skilled trades occupations"
"KS609EW","KS609EW0007","Count","6. Caring, leisure and other service occupations"
"KS609EW","KS609EW0008","Count","7. Sales and customer service occupations"
"KS609EW","KS609EW0009","Count","8. Process, plant and machine operatives"
"KS609EW","KS609EW0010","Count","9. Elementary occupations"
"KS609EW","KS609EW0011","Percentage","1. Managers, directors and senior officials"
"KS609EW","KS609EW0012","Percentage","2. Professional occupations"
"KS609EW","KS609EW0013","Percentage","3. Associate professional and technical occupations"
"KS609EW","KS609EW0014","Percentage","4. Administrative and secretarial occupations"
"KS609EW","KS609EW0015","Percentage","5. Skilled trades occupations"
"KS609EW","KS609EW0016","Percentage","6. Caring, leisure and other service occupations"
"KS609EW","KS609EW0017","Percentage","7. Sales and customer service occupations"
"KS609EW","KS609EW0018","Percentage","8. Process, plant and machine operatives"
"KS609EW","KS609EW0019","Percentage","9. Elementary occupations"
"KS610EW","KS610EW0001","Count","All categories: Occupation"
"KS610EW","KS610EW0002","Count","1. Managers, directors and senior officials"
"KS610EW","KS610EW0003","Count","2. Professional occupations"
"KS610EW","KS610EW0004","Count","3. Associate professional and technical occupations"
"KS610EW","KS610EW0005","Count","4. Administrative and secretarial occupations"
"KS610EW","KS610EW0006","Count","5. Skilled trades occupations"
"KS610EW","KS610EW0007","Count","6. Caring, leisure and other service occupations"
"KS610EW","KS610EW0008","Count","7. Sales and customer service occupations"
"KS610EW","KS610EW0009","Count","8. Process, plant and machine operatives"
"KS610EW","KS610EW0010","Count","9. Elementary occupations"
"KS610EW","KS610EW0011","Percentage","1. Managers, directors and senior officials"
"KS610EW","KS610EW0012","Percentage","2. Professional occupations"
"KS610EW","KS610EW0013","Percentage","3. Associate professional and technical occupations"
"KS610EW","KS610EW0014","Percentage","4. Administrative and secretarial occupations"
"KS610EW","KS610EW0015","Percentage","5. Skilled trades occupations"
"KS610EW","KS610EW0016","Percentage","6. Caring, leisure and other service occupations"
"KS610EW","KS610EW0017","Percentage","7. Sales and customer service occupations"
"KS610EW","KS610EW0018","Percentage","8. Process, plant and machine operatives"
"KS610EW","KS610EW0019","Percentage","9. Elementary occupations"
"KS611EW","KS611EW0001","Count","All categories: NS-SeC"
"KS611EW","KS611EW0002","Count","1. Higher managerial, administrative and professional occupations"
"KS611EW","KS611EW0003","Count","1.1 Large employers and higher managerial and administrative occupations"
"KS611EW","KS611EW0004","Count","1.2 Higher professional occupations"
"KS611EW","KS611EW0005","Count","2. Lower managerial, administrative and professional occupations"
"KS611EW","KS611EW0006","Count","3. Intermediate occupations"
"KS611EW","KS611EW0007","Count","4. Small employers and own account workers"
"KS611EW","KS611EW0008","Count","5. Lower supervisory and technical occupations"
"KS611EW","KS611EW0009","Count","6. Semi-routine occupations"
"KS611EW","KS611EW0010","Count","7. Routine occupations"
"KS611EW","KS611EW0011","Count","8. Never worked and long-term unemployed"
"KS611EW","KS611EW0012","Count","L14.1 Never worked"
"KS611EW","KS611EW0013","Count","L14.2 Long-term unemployed"
"KS611EW","KS611EW0014","Count","Not classified"
"KS611EW","KS611EW0015","Count","L15 Full-time students"
"KS611EW","KS611EW0016","Count","L17 Not classifiable for other reasons"
"KS611EW","KS611EW0017","Percentage","1. Higher managerial, administrative and professional occupations"
"KS611EW","KS611EW0018","Percentage","1.1 Large employers and higher managerial and administrative occupations"
"KS611EW","KS611EW0019","Percentage","1.2 Higher professional occupations"
"KS611EW","KS611EW0020","Percentage","2. Lower managerial, administrative and professional occupations"
"KS611EW","KS611EW0021","Percentage","3. Intermediate occupations"
"KS611EW","KS611EW0022","Percentage","4. Small employers and own account workers"
"KS611EW","KS611EW0023","Percentage","5. Lower supervisory and technical occupations"
"KS611EW","KS611EW0024","Percentage","6. Semi-routine occupations"
"KS611EW","KS611EW0025","Percentage","7. Routine occupations"
"KS611EW","KS611EW0026","Percentage","8. Never worked and long-term unemployed"
"KS611EW","KS611EW0027","Percentage","L14.1 Never worked"
"KS611EW","KS611EW0028","Percentage","L14.2 Long-term unemployed"
"KS611EW","KS611EW0029","Percentage","Not classified"
"KS611EW","KS611EW0030","Percentage","L15 Full-time students"
"KS611EW","KS611EW0031","Percentage","L17 Not classifiable for other reasons"
"KS612EW","KS612EW0001","Count","All categories: NS-SeC"
"KS612EW","KS612EW0002","Count","1. Higher managerial, administrative and professional occupations"
"KS612EW","KS612EW0003","Count","1.1 Large employers and higher managerial and administrative occupations"
"KS612EW","KS612EW0004","Count","1.2 Higher professional occupations"
"KS612EW","KS612EW0005","Count","2. Lower managerial, administrative and professional occupations"
"KS612EW","KS612EW0006","Count","3. Intermediate occupations"
"KS612EW","KS612EW0007","Count","4. Small employers and own account workers"
"KS612EW","KS612EW0008","Count","5. Lower supervisory and technical occupations"
"KS612EW","KS612EW0009","Count","6. Semi-routine occupations"
"KS612EW","KS612EW0010","Count","7. Routine occupations"
"KS612EW","KS612EW0011","Count","8. Never worked and long-term unemployed"
"KS612EW","KS612EW0012","Count","L14.1 Never worked"
"KS612EW","KS612EW0013","Count","L14.2 Long-term unemployed"
"KS612EW","KS612EW0014","Count","Not classified"
"KS612EW","KS612EW0015","Count","L15 Full-time students"
"KS612EW","KS612EW0016","Count","L17 Not classifiable for other reasons"
"KS612EW","KS612EW0017","Percentage","1. Higher managerial, administrative and professional occupations"
"KS612EW","KS612EW0018","Percentage","1.1 Large employers and higher managerial and administrative occupations"
"KS612EW","KS612EW0019","Percentage","1.2 Higher professional occupations"
"KS612EW","KS612EW0020","Percentage","2. Lower managerial, administrative and professional occupations"
"KS612EW","KS612EW0021","Percentage","3. Intermediate occupations"
"KS612EW","KS612EW0022","Percentage","4. Small employers and own account workers"
"KS612EW","KS612EW0023","Percentage","5. Lower supervisory and technical occupations"
"KS612EW","KS612EW0024","Percentage","6. Semi-routine occupations"
"KS612EW","KS612EW0025","Percentage","7. Routine occupations"
"KS612EW","KS612EW0026","Percentage","8. Never worked and long-term unemployed"
"KS612EW","KS612EW0027","Percentage","L14.1 Never worked"
"KS612EW","KS612EW0028","Percentage","L14.2 Long-term unemployed"
"KS612EW","KS612EW0029","Percentage","Not classified"
"KS612EW","KS612EW0030","Percentage","L15 Full-time students"
"KS612EW","KS612EW0031","Percentage","L17 Not classifiable for other reasons"
"KS613EW","KS613EW0001","Count","All categories: NS-SeC"
"KS613EW","KS613EW0002","Count","1. Higher managerial, administrative and professional occupations"
"KS613EW","KS613EW0003","Count","1.1 Large employers and higher managerial and administrative occupations"
"KS613EW","KS613EW0004","Count","1.2 Higher professional occupations"
"KS613EW","KS613EW0005","Count","2. Lower managerial, administrative and professional occupations"
"KS613EW","KS613EW0006","Count","3. Intermediate occupations"
"KS613EW","KS613EW0007","Count","4. Small employers and own account workers"
"KS613EW","KS613EW0008","Count","5. Lower supervisory and technical occupations"
"KS613EW","KS613EW0009","Count","6. Semi-routine occupations"
"KS613EW","KS613EW0010","Count","7. Routine occupations"
"KS613EW","KS613EW0011","Count","8. Never worked and long-term unemployed"
"KS613EW","KS613EW0012","Count","L14.1 Never worked"
"KS613EW","KS613EW0013","Count","L14.2 Long-term unemployed"
"KS613EW","KS613EW0014","Count","Not classified"
"KS613EW","KS613EW0015","Count","L15 Full-time students"
"KS613EW","KS613EW0016","Count","L17 Not classifiable for other reasons"
"KS613EW","KS613EW0017","Percentage","1. Higher managerial, administrative and professional occupations"
"KS613EW","KS613EW0018","Percentage","1.1 Large employers and higher managerial and administrative occupations"
"KS613EW","KS613EW0019","Percentage","1.2 Higher professional occupations"
"KS613EW","KS613EW0020","Percentage","2. Lower managerial, administrative and professional occupations"
"KS613EW","KS613EW0021","Percentage","3. Intermediate occupations"
"KS613EW","KS613EW0022","Percentage","4. Small employers and own account workers"
"KS613EW","KS613EW0023","Percentage","5. Lower supervisory and technical occupations"
"KS613EW","KS613EW0024","Percentage","6. Semi-routine occupations"
"KS613EW","KS613EW0025","Percentage","7. Routine occupations"
"KS613EW","KS613EW0026","Percentage","8. Never worked and long-term unemployed"
"KS613EW","KS613EW0027","Percentage","L14.1 Never worked"
"KS613EW","KS613EW0028","Percentage","L14.2 Long-term unemployed"
"KS613EW","KS613EW0029","Percentage","Not classified"
"KS613EW","KS613EW0030","Percentage","L15 Full-time students"
"KS613EW","KS613EW0031","Percentage","L17 Not classifiable for other reasons"
"QS101EW","QS101EW0001","Count","All categories: Residence type"
"QS101EW","QS101EW0002","Count","Lives in a household"
"QS101EW","QS101EW0003","Count","Lives in a communal establishment"
"QS101EW","QS101EW0004","Count","Communal establishments with persons sleeping rough identified"
"QS102EW","QS102EW0001","Count","All usual residents"
"QS102EW","QS102EW0002","Sum","Area(Hectares)"
"QS102EW","QS102EW0003","Ratio","Density (number of persons per hectare)"
"QS103EW","QS103EW0001","Count","All categories: Age"
"QS103EW","QS103EW0002","Count","Age under 1"
"QS103EW","QS103EW0003","Count","Age 1"
"QS103EW","QS103EW0004","Count","Age 2"
"QS103EW","QS103EW0005","Count","Age 3"
"QS103EW","QS103EW0006","Count","Age 4"
"QS103EW","QS103EW0007","Count","Age 5"
"QS103EW","QS103EW0008","Count","Age 6"
"QS103EW","QS103EW0009","Count","Age 7"
"QS103EW","QS103EW0010","Count","Age 8"
"QS103EW","QS103EW0011","Count","Age 9"
"QS103EW","QS103EW0012","Count","Age 10"
"QS103EW","QS103EW0013","Count","Age 11"
"QS103EW","QS103EW0014","Count","Age 12"
"QS103EW","QS103EW0015","Count","Age 13"
"QS103EW","QS103EW0016","Count","Age 14"
"QS103EW","QS103EW0017","Count","Age 15"
"QS103EW","QS103EW0018","Count","Age 16"
"QS103EW","QS103EW0019","Count","Age 17"
"QS103EW","QS103EW0020","Count","Age 18"
"QS103EW","QS103EW0021","Count","Age 19"
"QS103EW","QS103EW0022","Count","Age 20"
"QS103EW","QS103EW0023","Count","Age 21"
"QS103EW","QS103EW0024","Count","Age 22"
"QS103EW","QS103EW0025","Count","Age 23"
"QS103EW","QS103EW0026","Count","Age 24"
"QS103EW","QS103EW0027","Count","Age 25"
"QS103EW","QS103EW0028","Count","Age 26"
"QS103EW","QS103EW0029","Count","Age 27"
"QS103EW","QS103EW0030","Count","Age 28"
"QS103EW","QS103EW0031","Count","Age 29"
"QS103EW","QS103EW0032","Count","Age 30"
"QS103EW","QS103EW0033","Count","Age 31"
"QS103EW","QS103EW0034","Count","Age 32"
"QS103EW","QS103EW0035","Count","Age 33"
"QS103EW","QS103EW0036","Count","Age 34"
"QS103EW","QS103EW0037","Count","Age 35"
"QS103EW","QS103EW0038","Count","Age 36"
"QS103EW","QS103EW0039","Count","Age 37"
"QS103EW","QS103EW0040","Count","Age 38"
"QS103EW","QS103EW0041","Count","Age 39"
"QS103EW","QS103EW0042","Count","Age 40"
"QS103EW","QS103EW0043","Count","Age 41"
"QS103EW","QS103EW0044","Count","Age 42"
"QS103EW","QS103EW0045","Count","Age 43"
"QS103EW","QS103EW0046","Count","Age 44"
"QS103EW","QS103EW0047","Count","Age 45"
"QS103EW","QS103EW0048","Count","Age 46"
"QS103EW","QS103EW0049","Count","Age 47"
"QS103EW","QS103EW0050","Count","Age 48"
"QS103EW","QS103EW0051","Count","Age 49"
"QS103EW","QS103EW0052","Count","Age 50"
"QS103EW","QS103EW0053","Count","Age 51"
"QS103EW","QS103EW0054","Count","Age 52"
"QS103EW","QS103EW0055","Count","Age 53"
"QS103EW","QS103EW0056","Count","Age 54"
"QS103EW","QS103EW0057","Count","Age 55"
"QS103EW","QS103EW0058","Count","Age 56"
"QS103EW","QS103EW0059","Count","Age 57"
"QS103EW","QS103EW0060","Count","Age 58"
"QS103EW","QS103EW0061","Count","Age 59"
"QS103EW","QS103EW0062","Count","Age 60"
"QS103EW","QS103EW0063","Count","Age 61"
"QS103EW","QS103EW0064","Count","Age 62"
"QS103EW","QS103EW0065","Count","Age 63"
"QS103EW","QS103EW0066","Count","Age 64"
"QS103EW","QS103EW0067","Count","Age 65"
"QS103EW","QS103EW0068","Count","Age 66"
"QS103EW","QS103EW0069","Count","Age 67"
"QS103EW","QS103EW0070","Count","Age 68"
"QS103EW","QS103EW0071","Count","Age 69"
"QS103EW","QS103EW0072","Count","Age 70"
"QS103EW","QS103EW0073","Count","Age 71"
"QS103EW","QS103EW0074","Count","Age 72"
"QS103EW","QS103EW0075","Count","Age 73"
"QS103EW","QS103EW0076","Count","Age 74"
"QS103EW","QS103EW0077","Count","Age 75"
"QS103EW","QS103EW0078","Count","Age 76"
"QS103EW","QS103EW0079","Count","Age 77"
"QS103EW","QS103EW0080","Count","Age 78"
"QS103EW","QS103EW0081","Count","Age 79"
"QS103EW","QS103EW0082","Count","Age 80"
"QS103EW","QS103EW0083","Count","Age 81"
"QS103EW","QS103EW0084","Count","Age 82"
"QS103EW","QS103EW0085","Count","Age 83"
"QS103EW","QS103EW0086","Count","Age 84"
"QS103EW","QS103EW0087","Count","Age 85"
"QS103EW","QS103EW0088","Count","Age 86"
"QS103EW","QS103EW0089","Count","Age 87"
"QS103EW","QS103EW0090","Count","Age 88"
"QS103EW","QS103EW0091","Count","Age 89"
"QS103EW","QS103EW0092","Count","Age 90"
"QS103EW","QS103EW0093","Count","Age 91"
"QS103EW","QS103EW0094","Count","Age 92"
"QS103EW","QS103EW0095","Count","Age 93"
"QS103EW","QS103EW0096","Count","Age 94"
"QS103EW","QS103EW0097","Count","Age 95"
"QS103EW","QS103EW0098","Count","Age 96"
"QS103EW","QS103EW0099","Count","Age 97"
"QS103EW","QS103EW0100","Count","Age 98"
"QS103EW","QS103EW0101","Count","Age 99"
"QS103EW","QS103EW0102","Count","Age 100 and over"
"QS104EW","QS104EW0001","Count","All categories: Sex"
"QS104EW","QS104EW0002","Count","Males"
"QS104EW","QS104EW0003","Count","Females"
"QS105EW","QS105EW0001","Count","All categories: Sex"
